PID; W; D; Wr; Dr; tot; Target; Start; End; MouseDown; Error; Browser; OS; Invisible; Block; WorkerID; Platform; HIT;
0; 15.66; 208.8; 6; 80; 10; 1; 1428498174187; 1428498174956; 1428498174836; 0; Chrome; MacOS; 1; 1;1235;crowdflower; ; 
0; 15.66; 208.8; 6; 80; 10; 6; 1428498174956; 1428498175797; 1428498175702; 0; Chrome; MacOS; 1; 1;1235;crowdflower; ; 
0; 15.66; 208.8; 6; 80; 10; 2; 1428498175797; 1428498177159; 1428498177055; 1; Chrome; MacOS; 1; 1;1235;crowdflower; ; 
0; 15.66; 208.8; 6; 80; 10; 7; 1428498177159; 1428498177888; 1428498177809; 0; Chrome; MacOS; 1; 1;1235;crowdflower; ; 
0; 15.66; 208.8; 6; 80; 10; 3; 1428498177888; 1428498178861; 1428498178767; 0; Chrome; MacOS; 1; 1;1235;crowdflower; ; 
0; 15.66; 208.8; 6; 80; 10; 8; 1428498178861; 1428498179815; 1428498179735; 0; Chrome; MacOS; 1; 1;1235;crowdflower; ; 
0; 15.66; 208.8; 6; 80; 10; 4; 1428498179815; 1428498180687; 1428498180624; 0; Chrome; MacOS; 1; 1;1235;crowdflower; ; 
0; 15.66; 208.8; 6; 80; 10; 9; 1428498180687; 1428498181545; 1428498181417; 0; Chrome; MacOS; 1; 1;1235;crowdflower; ; 
0; 15.66; 208.8; 6; 80; 10; 5; 1428498181545; 1428498182442; 1428498182331; 0; Chrome; MacOS; 1; 1;1235;crowdflower; ; 
0; 15.66; 208.8; 6; 80; 10; 0; 1428498182442; 1428498183196; 1428498183100; 0; Chrome; MacOS; 1; 1;1235;crowdflower; ; 
